date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:53	0/0	---M--	200	added ('OK')	text/plain	etag:%220-5b86b25c4a80a%22	http://madebyevan.com/robots.txt		(from )
15:53:54	3294/3294	---M-Z	200	added ('OK')	text/html	etag:%22cde-5b86b26e6350a%22	http://madebyevan.com/webgl-water/	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/index.html	(from )
15:53:54	5010/5010	---M-Z	200	added ('OK')	application/javascript	etag:%221392-5b86b26e51bca%22	http://madebyevan.com/webgl-water/OES_texture_float_linear-polyfill.js	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/OES_texture_float_linear-polyfill.js	(from http://madebyevan.com/webgl-water/)
15:53:54	1472/1472	---M-Z	200	added ('OK')	application/javascript	etag:%225c0-5b86b26f920ca%22	http://madebyevan.com/webgl-water/cubemap.js	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/cubemap.js	(from http://madebyevan.com/webgl-water/)
15:53:55	13121/13121	---M-Z	200	added ('OK')	application/javascript	etag:%223341-5b86b26e3e34a%22	http://madebyevan.com/webgl-water/renderer.js	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/renderer.js	(from http://madebyevan.com/webgl-water/)
15:53:55	5430/5430	---M-Z	200	added ('OK')	application/javascript	etag:%221536-5b86b26e74e4a%22	http://madebyevan.com/webgl-water/water.js	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/water.js	(from http://madebyevan.com/webgl-water/)
15:53:55	70892/70892	---M-Z	200	added ('OK')	application/javascript	etag:%22114ec-5b86b26ebb34a%22	http://madebyevan.com/webgl-water/lightgl.js	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/lightgl.js	(from http://madebyevan.com/webgl-water/)
15:53:55	8155/8155	---M-Z	200	added ('OK')	application/javascript	etag:%221fdb-5b86b26ecfb6a%22	http://madebyevan.com/webgl-water/main.js	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/main.js	(from http://madebyevan.com/webgl-water/)
15:53:59	16741/16741	---M--	200	added ('OK')	image/jpeg	etag:%224165-5b86b26e9de8a%22	http://madebyevan.com/webgl-water/ypos.jpg	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/ypos.jpg	(from http://madebyevan.com/webgl-water/)
15:53:59	23299/23299	---M--	200	added ('OK')	image/jpeg	etag:%225b03-5b86b26ee820a%22	http://madebyevan.com/webgl-water/xneg.jpg	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/xneg.jpg	(from http://madebyevan.com/webgl-water/)
15:54:00	30837/30837	---M--	200	added ('OK')	image/jpeg	etag:%227875-5b86b26fb728a%22	http://madebyevan.com/webgl-water/xpos.jpg	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/xpos.jpg	(from http://madebyevan.com/webgl-water/)
15:54:03	22927/22927	---M--	200	added ('OK')	image/jpeg	etag:%22598f-5b86b26efca2a%22	http://madebyevan.com/webgl-water/zpos.jpg	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/zpos.jpg	(from http://madebyevan.com/webgl-water/)
15:54:03	24402/24402	---M--	200	added ('OK')	image/jpeg	etag:%225f52-5b86b26fa49aa%22	http://madebyevan.com/webgl-water/zneg.jpg	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/zneg.jpg	(from http://madebyevan.com/webgl-water/)
15:54:06	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Tue,%2026%20Oct%202021%2023:24:02%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/jlaur/Downloads/httrack/webgl-water/www.google-analytics.com/analytics.js	(from http://madebyevan.com/webgl-water/)
15:54:06	110238/110238	---M--	200	added ('OK')	image/jpeg	etag:%221ae9e-5b86b26f6ee4a%22	http://madebyevan.com/webgl-water/tiles.jpg	C:/Users/jlaur/Downloads/httrack/webgl-water/madebyevan.com/webgl-water/tiles.jpg	(from http://madebyevan.com/webgl-water/)
